sohn_objID,RAJ2000,DEJ2000,z,rmag,member_Mm,simard_matched,match_sep_arcsec,objID_agrees,simard_objID,simard_z,simard_Sp,simard_Scale,simard_gg2d,simard_rg2d,simard_Rhlr,simard_Rchl_r,simard_Rhlg,simard_Rchl_g,simard_e,simard_e_e,simard_phi,simard_e_phi,simard_ng,simard_e_ng
1237662268074230655,228.268665,+05.759152,0.21838,19.99,N,0,60.886,,,,,,,,,,,,,,,,,
1237662268074230717,228.286002,+05.772775,0.95339,21.16,N,0,47.806,,,,,,,,,,,,,,,,,
1237662268074231116,228.233859,+05.819075,0.62316,20.67,N,0,136.069,,,,,,,,,,,,,,,,,
1237662268074231151,228.261788,+05.882954,0.65588,21.32,N,0,64.561,,,,,,,,,,,,,,,,,
1237662268610707734,227.486251,+06.221193,0.09396,18.89,N,0,169.914,,,,,,,,,,,,,,,,,
1237662268610707736,227.485551,+06.199351,0.08034,17.32,Y,1,0.040,0,587736547385803074,0.0804,2,1.516,18.30,17.39,3.20,2.46,3.20,2.46,0.47,0.02,151.91,1.24,2.23,0.12
1237662268610707805,227.464318,+06.180963,0.22345,18.09,N,0,100.754,,,,,,,,,,,,,,,,,
1237662268610708312,227.413102,+06.188756,0.23966,20.91,N,0,111.987,,,,,,,,,,,,,,,,,
1237662268610708360,227.426018,+06.197562,0.39109,19.41,N,0,142.606,,,,,,,,,,,,,,,,,
1237662268610708493,227.456091,+06.189814,0.63193,21.00,N,0,110.871,,,,,,,,,,,,,,,,,
1237662268610772996,227.495587,+06.178634,0.09395,17.49,N,1,0.018,0,587736547385868294,0.0940,2,1.746,18.30,17.59,2.59,2.01,2.59,2.01,0.47,0.01,128.47,0.98,1.12,0.06
1237662268610772997,227.493313,+06.178949,0.22331,19.44,N,0,8.230,,,,,,,,,,,,,,,,,
1237662268610773124,227.605901,+06.284513,0.35405,20.55,N,0,34.673,,,,,,,,,,,,,,,,,
1237662268610773144,227.622474,+06.189429,0.38650,19.82,N,0,85.207,,,,,,,,,,,,,,,,,
1237662268610773210,227.513945,+06.206468,0.07447,18.43,Y,0,104.813,,,,,,,,,,,,,,,,,
1237662268610773229,227.539690,+06.226743,0.17494,17.89,N,1,0.011,0,587736547385868583,0.1758,-1,2.979,18.70,17.54,7.30,6.61,7.30,6.61,0.29,0.03,80.19,4.65,7.95,0.15
1237662268610773239,227.550848,+06.214250,0.07977,16.78,Y,1,0.007,0,587736547385868590,0.0800,2,1.509,17.73,16.77,3.16,2.47,3.16,2.47,0.45,0.01,147.95,0.81,3.97,0.10
1237662268610773242,227.550114,+06.212647,0.22196,20.51,N,0,6.344,,,,,,,,,,,,,,,,,
1237662268610773277,227.570392,+06.239207,0.17005,18.48,N,0,113.855,,,,,,,,,,,,,,,,,
1237662268610773294,227.579631,+06.271077,0.03150,16.00,N,1,0.011,0,587736547385868411,0.0316,2,0.631,16.80,16.03,2.39,1.76,2.39,1.76,0.53,0.00,13.76,0.27,4.10,0.07
1237662268610773331,227.584165,+06.181444,0.05278,16.17,N,1,0.023,0,587736547385868648,0.0528,2,1.029,16.96,16.11,3.06,2.39,3.06,2.39,0.45,0.01,101.23,0.61,4.09,0.06
1237662268610773347,227.599178,+06.268800,0.07704,17.27,Y,1,0.046,0,587736547385868661,0.0771,2,1.460,17.89,17.33,7.38,4.49,7.38,4.49,0.78,0.00,142.08,0.29,0.81,0.03
1237662268610773372,227.615201,+06.287226,0.09728,16.94,N,1,0.022,0,587736547385868678,0.0973,2,1.801,17.98,16.98,2.99,2.13,2.99,2.13,0.60,0.01,173.84,0.63,2.91,0.12
1237662268610773383,227.617411,+06.269090,0.17946,18.32,N,0,65.284,,,,,,,,,,,,,,,,,
1237662268610773407,227.632754,+06.245276,0.08035,16.99,Y,1,0.026,0,587736547385868727,0.0806,2,1.520,17.71,16.80,8.25,7.95,8.25,7.95,0.08,0.03,109.47,10.43,4.14,0.14
1237662268610773409,227.632621,+06.242496,0.39639,20.51,N,0,9.997,,,,,,,,,,,,,,,,,
