name,v_pec_lin_kms,kappa_los,kappa_2phase,dlnn_dlnr,in_void_VoidFinder,in_void_REVOLVER
PGC31052,146.24274505386316,-1.6770640066215662e-06,8.749020156448847e-05,0.018344937551839365,0.0,0.0
PGC31113,-219.75114056329417,1.654074746088081e-05,0.00024823997890871096,7.1446334123903625,0.0,0.0
PGC31117,44.26005270743657,2.7823671283078563e-05,8.981333305331747e-05,2.8729124728145456,1.0,0.0
PGC31144,274.32277402221087,3.195975202770244e-06,6.715615385581401e-05,-0.11518292389474066,0.0,0.0
PGC31220,156.41773929640993,2.44169896568094e-05,8.286254702906096e-05,4.431733757551142,0.0,1.0
PGC31604,377.6772168768985,2.6422639909809803e-06,7.205213884608717e-05,0.24281640479577543,0.0,0.0
PGC31993,420.0490810056307,1.0720839319345608e-05,7.490837614914697e-05,2.626050276686316,0.0,0.0
PGC32383,-41.01115359336065,1.9854925559316486e-05,7.37315450032003e-05,7.682580525896103,0.0,1.0
PGC32439,-19.845306547590468,1.5039155969930889e-05,8.356072106956355e-05,8.113803039230975,0.0,1.0
PGC32530,124.08751742479613,6.329250137236897e-05,0.0001538258973556701,1.981141695517909,0.0,0.0
PGC32586,-113.59312793530103,6.67794813780213e-05,0.000267192144292068,3.1642591134400884,0.0,0.0
PGC32607,403.32497762555096,6.959010265032722e-07,7.547801174549729e-05,2.615650317832173,0.0,0.0
PGC32896,49.612296421619575,1.9961750122174083e-05,7.727001332511648e-05,7.226556336653961,0.0,1.0
PGC32979,243.03403532281786,4.0717302653134274e-05,9.94007834855276e-05,6.584055802705502,0.0,1.0
PGC33000,-110.64165413540947,2.621879488173896e-05,8.530310539402258e-05,5.964472041440707,0.0,1.0
PGC33220,104.90515363816446,1.005861956510195e-05,8.785579835149494e-05,4.768527188582132,0.0,0.0
PGC33398,311.5738959755694,2.260846665144421e-05,7.408012127343926e-05,0.7076927895147038,0.0,1.0
PGC33455,-18.64869195712874,2.7999501443540347e-05,8.485507279701341e-05,7.155299768842277,0.0,1.0
PGC33510,451.68115484607983,1.4635459485539225e-05,6.74644261874809e-05,-1.2397761105008474,0.0,0.0
PGC33639,409.36982234402814,1.5770440819867032e-05,7.630911205115079e-05,1.74309855157572,0.0,0.0
PGC33681,222.70094955347307,0.00011416878157739746,0.00017979429747968256,1.4787417715845983,0.0,0.0
PGC34138,62.72142329885423,4.414725529197201e-05,7.324358608765164e-05,5.472095554893646,0.0,1.0
