theory,radius_kpc,height_kpc,angle_deg,gx_kms2_per_kpc,gy_kms2_per_kpc,gz_kms2_per_kpc,inward_kms2_per_kpc,tangential_kms2_per_kpc,downward_kms2_per_kpc
newton,2.0,0.25,125.0,3670.4734475507043,-8077.371164949851,-5117.277357580605,8721.892182016896,1626.3139398070111,5117.277357580605
newton,2.0,0.25,130.0,4768.976653293701,-8204.488389436947,-5180.901678511808,9350.441842983917,1620.4954159273598,5180.901678511808
newton,2.0,0.25,135.0,5467.240215355121,-8684.25260930608,-5213.100676531586,10006.616540230705,2274.7712789238917,5213.100676531586
newton,2.0,0.25,140.0,5789.909496902221,-9298.909606162024,-5703.484341757076,10412.551874699831,3401.695945050929,5703.484341757076
newton,2.0,0.25,145.0,7226.383392666053,-8418.14659752112,-6585.585407154825,10747.957255005265,2750.858760412071,6585.585407154825
newton,2.0,0.25,150.0,8826.542801463409,-6708.600858038018,-6638.281174087171,10998.310722676988,1396.5473661793021,6638.281174087171
newton,2.0,0.25,155.0,8954.260417507123,-5975.524225715562,-6578.066993906867,10640.6816048021,1631.4301645717514,6578.066993906867
newton,2.0,0.25,160.0,9133.529198065899,-5318.603414277255,-6724.045652317629,10401.779491198657,1874.0014158913932,6724.045652317629
newton,2.0,0.25,165.0,9283.79834448269,-3864.986805064508,-6856.425348314264,9967.792781216165,1330.4667508349057,6856.425348314264
newton,2.0,0.25,170.0,9239.044322035,-3104.4372479064277,-6308.958554556957,9637.76234954378,1452.9306605727552,6308.958554556957
newton,2.0,0.25,175.0,9229.958496770472,-4531.338283143391,-6290.536176677743,9589.767871797862,3709.65128461151,6290.536176677743
newton,2.0,0.25,180.0,9189.3626567834,-6098.770288298227,-7372.428781049297,9189.3626567834,6098.770288298226,7372.428781049297
newton,2.0,0.25,185.0,8160.622574066616,-5171.80820236529,-9448.5696716605,7678.816156187399,5863.3730324697835,9448.5696716605
newton,2.0,0.25,190.0,6351.595471998432,-1307.9578692353064,-10740.14082911635,6027.975964363459,2391.0300292263123,10740.14082911635
newton,2.0,0.25,195.0,5049.767386898107,2923.968278430576,-10641.84343189801,5634.479413490607,-1517.360502319259,10641.84343189801
newton,2.0,0.25,200.0,5071.7147021887,5189.119044293465,-9788.433622382814,6540.636119641331,-3141.5482849527143,9788.433622382814
newton,2.0,0.25,205.0,3863.8107059655417,6595.662197679796,-9169.843294160506,6289.249023464423,-4344.783046170202,9169.843294160506
newton,2.0,0.25,210.0,2803.3512017543226,7671.2187452394455,-8156.6565299555405,6263.382729068602,-5241.794710487584,8156.6565299555405
newton,2.0,0.25,215.0,3219.453222590742,7861.75334078332,-7308.620869397999,7146.538153455417,-4593.368814385978,7308.620869397999
newton,2.0,0.25,220.0,4277.761114623627,7820.007845196184,-6718.509462952479,8303.559281391514,-3240.781713280403,6718.509462952479
newton,2.0,0.25,225.0,5192.610327774497,7703.591645543194,-6970.365310210057,9118.991866884277,-1775.53191722698,6970.365310210057
newton,2.0,0.25,230.0,3841.6356178218275,8998.118353411699,-7368.877242002718,9362.314339224284,-2841.0153705457337,7368.877242002718
newton,2.0,0.25,235.0,2006.9707523298919,10001.504746820936,-6560.042322910469,9343.904191306581,-4092.61325623038,6560.042322910469
newton,2.0,0.25,240.0,1528.5346806129019,9527.833386781102,-5686.778304277319,9015.613096284409,-3440.166829414249,5686.778304277319
newton,2.0,0.25,245.0,1456.3990196186094,9002.584575947276,-5019.103002620342,8774.61332670913,-2484.7108721475784,5019.103002620342
newton,2.0,0.25,250.0,1873.2336278624903,8257.034642892038,-4763.98236250829,8399.758157383249,-1063.808354896547,4763.98236250829
newton,2.0,0.25,255.0,2038.5847424892984,8123.044766340535,-4967.555610309001,8373.88328432222,-133.27703790002192,4967.555610309001
newton,2.0,0.25,260.0,1441.1118855223922,8647.843673290274,-5284.452070207865,8766.709949028951,-82.46413679485545,5284.452070207865
newton,2.0,0.25,265.0,346.8470301747262,8955.095817350544,-5221.270022504899,8951.248684682876,-434.9608548287045,5221.270022504899
newton,2.0,0.25,270.0,174.93800007054233,8639.053317331884,-4918.083161569637,8639.053317331884,174.93800007054074,4918.083161569637
newton,2.0,0.25,275.0,155.0886219309688,8180.4633606603575,-5097.878790997482,8135.817363787527,867.4728231203414,5097.878790997482
newton,2.0,0.25,280.0,-491.95101893645165,8076.040324835539,-5172.387080978796,8038.773523476974,917.9125076214593,5172.387080978796
newton,2.0,0.25,285.0,-721.5593328535128,8430.770011097546,-5203.668264045348,8330.251786736453,1485.0710489481128,5203.668264045348
newton,2.0,0.25,290.0,-1173.3802683906424,8674.97291500724,-5554.4621926054315,8553.127721320403,1864.3987001545975,5554.4621926054315
newton,2.0,0.25,295.0,-2277.052411629574,8824.865142486942,-5823.208879907968,8960.367930279568,1665.8388344634568,5823.208879907968
newton,2.0,0.25,300.0,-3285.673390870167,8672.947285263703,-5930.414316810302,9153.829370156733,1490.99701759973,5930.414316810302
newton,2.0,0.25,305.0,-4230.065740603527,8312.38334612878,-5984.607599890777,9235.37184392118,1302.720218364122,5984.607599890777
newton,2.0,0.25,310.0,-5074.291768509967,8062.163047912363,-5912.19590101814,9437.667079105033,1295.125502439299,5912.19590101814
newton,2.0,0.25,315.0,-5600.813273319106,8142.487452707362,-5939.201238521563,9717.981139259316,1797.2350478121862,5939.201238521563
newton,2.0,0.25,320.0,-5881.457304978993,8066.731251644424,-6225.338648006205,9690.652585148904,2398.9467669155238,6225.338648006205
newton,2.0,0.25,325.0,-6283.597828084791,7619.440647113711,-6582.203358904844,9517.553619725317,2637.3567327257833,6582.203358904844
newton,2.0,0.25,330.0,-6811.286520464355,7336.222259098822,-6927.469550311562,9566.85828872606,2947.7115839562616,6927.469550311562
newton,2.0,0.25,335.0,-7102.957974260647,6838.435434678271,-7554.82052300709,9327.513819496227,3195.887533297003,7554.82052300709
newton,2.0,0.25,340.0,-7381.099530425005,5408.056782590213,-8048.44668555919,8785.62911792157,2557.4263320942196,8048.44668555919
