group,branch,kind,amplitude,center,continuum,threshold,mean_retention,sd,minimum,maximum,mean_paired_flux
empirical,boxcar_independent,rotation,10,20,actual,per_channel,0.9011300018818216,0.05489703203414629,0.7921544211700144,0.9679611210173005,0.9655662155839352
empirical,boxcar_independent,rotation,10,20,actual,fixed_global,0.9224312709222408,0.040360055145543354,0.8461810612031999,0.9713394546757725,1.004630236748378
empirical,boxcar_independent,rotation,10,20,source_disabled,per_channel,0.9011300018818216,0.05489703203414629,0.7921544211700144,0.9679611210173005,0.9655662155839352
empirical,boxcar_independent,rotation,10,20,source_disabled,fixed_global,0.9224312709222408,0.040360055145543354,0.8461810612031999,0.9713394546757725,1.004630236748378
empirical,boxcar_independent,rotation,10,30,actual,per_channel,0.9485835011752854,0.02598735684802387,0.8811070914415027,0.9687464263709138,1.090999393125177
empirical,boxcar_independent,rotation,10,30,actual,fixed_global,0.9484946421000133,0.026043653376311725,0.8804034317616921,0.9686189009556496,1.0902315770782876
empirical,boxcar_independent,rotation,10,30,source_disabled,per_channel,0.9485835011752854,0.02598735684802387,0.8811070914415027,0.9687464263709138,1.090999393125177
empirical,boxcar_independent,rotation,10,30,source_disabled,fixed_global,0.9484946421000133,0.026043653376311725,0.8804034317616921,0.9686189009556496,1.0902315770782876
empirical,boxcar_independent,warp,5,10,actual,per_channel,0.757104849927427,0.10703545179712635,0.5866517059874703,0.92657224208933,0.922800773682973
empirical,boxcar_independent,warp,5,10,actual,fixed_global,0.752897301915044,0.10535363260768099,0.5857721786082959,0.9067460787361469,0.9226082433743551
empirical,boxcar_independent,warp,5,10,source_disabled,per_channel,0.757104849927427,0.10703545179712635,0.5866517059874703,0.92657224208933,0.9228007736829914
empirical,boxcar_independent,warp,5,10,source_disabled,fixed_global,0.752897301915044,0.10535363260768099,0.5857721786082959,0.9067460787361469,0.9226082433743757
empirical,boxcar_independent,warp,5,20,actual,per_channel,0.4371115986320939,0.2689540216763221,0.0431611245076003,0.8545797019426976,0.5320937703784915
empirical,boxcar_independent,warp,5,20,actual,fixed_global,0.6134801423377679,0.22582708119573647,0.198272673281213,0.8786609756315812,0.7573004212878388
empirical,boxcar_independent,warp,5,20,source_disabled,per_channel,0.4371115986320939,0.2689540216763221,0.0431611245076003,0.8545797019426976,0.5320937703784915
empirical,boxcar_independent,warp,5,20,source_disabled,fixed_global,0.6134801423377679,0.22582708119573647,0.198272673281213,0.8786609756315812,0.7573004212878388
empirical,boxcar_independent,warp,5,30,actual,per_channel,0.7761932771119603,0.08700138707825925,0.609693810027254,0.8813164586069198,0.9376868344238768
empirical,boxcar_independent,warp,5,30,actual,fixed_global,0.7841336585900119,0.0831814600570976,0.5991157588461382,0.881740429441278,0.9523801710538876
empirical,boxcar_independent,warp,5,30,source_disabled,per_channel,0.7761932771119603,0.08700138707825925,0.609693810027254,0.8813164586069198,0.9376868344238768
empirical,boxcar_independent,warp,5,30,source_disabled,fixed_global,0.7841336585900119,0.0831814600570976,0.5991157588461382,0.881740429441278,0.9523801710538876
empirical,boxcar_independent,warp,10,10,actual,per_channel,0.9315797920137475,0.02949637280609376,0.8807522729580319,0.9689443210293738,1.0405372299524474
empirical,boxcar_independent,warp,10,10,actual,fixed_global,0.9310090314658342,0.02842640585280126,0.8800028593707557,0.9683644650394195,1.0394809559482392
empirical,boxcar_independent,warp,10,10,source_disabled,per_channel,0.9315797920137475,0.02949637280609376,0.8807522729580319,0.9689443210293738,1.0405372299525049
empirical,boxcar_independent,warp,10,10,source_disabled,fixed_global,0.9310090314658342,0.02842640585280126,0.8800028593707557,0.9683644650394195,1.0394809559482971
empirical,boxcar_independent,warp,10,20,actual,per_channel,0.8934348811048295,0.05712195604855993,0.7799157762897161,0.9666708130605446,0.9588234773048114
