galaxy,target,median_log10_gbar,spread_log10_gbar,quality,inclination_deg,hubble_type,gas_mass_fraction_proxy,log10_effective_stellar_surface_brightness,log10_disk_scale_length
UGC06923,-0.03595257763058759,-10.677632001155674,0.5193340310178964,2.0,65.0,10.0,0.4268079350408771,2.220840015834177,0.15836249209524964
UGC06930,-0.041197942703832216,-10.952935491233418,0.6535068473184378,1.0,32.0,7.0,0.49083421785591735,1.8688207061975175,0.5954962218255742
UGC06983,0.030589953733091514,-11.052276667834661,0.7921140890108003,1.0,49.0,6.0,0.5983387691789827,1.7288405683399715,0.5065050324048721
UGC07089,-0.09511838456127597,-11.05938916045363,0.3247393953684661,2.0,80.0,8.0,0.47389584164925214,1.57287160220048,0.35410843914740087
UGC07261,-0.004328814118058035,-10.929774265727971,0.4925637156374041,2.0,30.0,8.0,0.678057989965253,1.5928426831311002,0.07918124604762482
UGC07323,-0.06436640256214761,-10.786017898316349,0.10416451094191359,1.0,47.0,8.0,0.3185195504783134,1.7888044930446483,0.35410843914740087
UGC07399,0.15635730624481728,-10.98970719018734,0.6609890047528619,1.0,55.0,8.0,0.6315772699748223,2.0568286526378117,0.21484384804769785
UGC07524,-0.015313302326682062,-11.23415552042746,0.33740913734941813,1.0,46.0,9.0,0.6601628874436046,1.472902651803664,0.5390760987927766
UGC07559,-0.15636945091594653,-11.301113743336844,0.1358847961502736,2.0,61.0,10.0,0.8048483546388799,1.252853030979893,-0.23657200643706275
UGC07577,-0.3506410303469306,-11.479133440419162,0.915688362673027,2.0,63.0,10.0,0.7222907923969389,1.0770043267933502,-0.045757490560675115
UGC07603,0.05542936066756016,-10.973724526677737,0.7044684636837566,1.0,78.0,7.0,0.6460443574198894,1.9128063926612924,-0.27572413039921095
UGC07690,-0.031118695846559113,-10.765066429382125,0.8782114506891308,2.0,41.0,10.0,0.5473251028806585,2.264841425329148,-0.24412514432750865
UGC07866,-0.12272720422221624,-11.286212022664238,0.08103309387968416,2.0,44.0,10.0,0.71681739289303,1.3408405498123315,-0.21467016498923297
UGC08490,0.049782773169037245,-11.210595842230637,1.232343034591075,1.0,50.0,9.0,0.6531614487415592,2.0968405203313893,-0.17392519729917355
UGC08699,0.019093319590230005,-10.165641151504332,2.577043361146096,2.0,73.0,2.0,0.1650438508837568,3.3408306433471138,0.4899584794248346
UGC08837,-0.1921516800701707,-11.174604712825705,0.3924059577835255,2.0,80.0,10.0,0.6294926785978405,1.1967287226232868,0.2355284469075489
UGC09037,-0.0989809345304098,-10.548697304960584,1.04837020480546,2.0,65.0,6.0,0.42515793202296087,2.5248243628539666,0.631443769013172
UGC09133,-0.01596039826314395,-9.914326391736594,3.0680731061713598,1.0,53.0,2.0,0.2391281430344213,3.108828767382579,0.8432327780980095
UGC09992,-0.16004381758104658,-11.183364020330258,0.349459488753217,2.0,30.0,10.0,0.7157071783937456,1.3049211619008918,0.01703333929878037
UGC10310,-0.0020609142109264448,-11.088833309337897,0.17343568290228895,1.0,34.0,9.0,0.6463078685833624,1.4528593357958524,0.25527250510330607
UGC11557,-0.1912789473060158,-10.566633496597733,0.45190523891462675,2.0,30.0,8.0,0.3641193254967079,2.028815169846887,0.43933269383026263
UGC11820,-0.034880879553755725,-11.338601693158589,0.540375225720517,1.0,45.0,9.0,0.8442722698681292,1.3049211619008918,0.31806333496276157
UGC11914,0.043096068794837884,-9.307705970929065,1.4863023907125061,1.0,31.0,2.0,0.015500221536729952,3.3848299265915687,0.3873898263387294
UGC12632,-0.0037319986783216972,-11.365710428312171,0.1339563929536176,1.0,46.0,9.0,0.7809779058726877,1.1169396465507557,0.38381536598043126
UGC12732,0.012421154763892004,-11.346877263582432,0.3114571111816833,1.0,39.0,9.0,0.8538052724817148,1.4287825114969546,0.2966651902615311
UGCA442,-0.02634596181410307,-11.360217417618406,0.6295246990679679,1.0,64.0,9.0,0.8332499583124896,0.8808135922807914,0.07188200730612536
UGCA444,-0.06583806428154382,-11.365826031713258,1.1261160414059717,2.0,78.0,10.0,0.9369151508779308,1.0770043267933502,-0.08092190762392612
