branch,family,galaxy,mean_mse_mond,mean_mse_candidate,difference,leave_this_galaxy_out_gain_percent
return,finite_mix,UGC06818,0.01506301804715742,0.01272402609675201,0.0023389919504054092,0.28414259563486366
return,finite_mix,UGC06917,0.0025896087241529084,0.004938772891251614,-0.002349164167098706,0.7180564434672245
return,finite_mix,UGC06923,0.003042972812860583,0.0015215503378072535,0.0015214224750533293,0.35723511604483077
return,finite_mix,UGC06983,0.005300459515727276,0.008707871563310385,-0.0034074120475831087,0.8188191371483369
return,finite_mix,UGC07089,0.004795981960984953,0.00213106429994617,0.0026649176610387825,0.25095767016888415
return,finite_mix,UGC07261,0.0030693815195294272,0.004289612020601585,-0.0012202305010721574,0.6130459641149569
return,finite_mix,UGC07323,0.0021034978892161406,0.0005051068174214854,0.001598391071794655,0.34974739588698034
return,finite_mix,UGC07399,0.03833056352383157,0.050730364035805775,-0.012399800511974202,1.7124626388094661
return,finite_mix,UGC07524,0.0017287637568097947,0.0052035085398592406,-0.0034747447830494457,0.8223682964268483
return,finite_mix,UGC07577,0.09545438959426272,0.07401688250027001,0.02143750709399271,-1.6425524590261131
return,finite_mix,UGC07603,0.009091323798830197,0.0039746328679571945,0.005116690930873002,0.021920899905835116
return,finite_mix,UGC07866,0.006080211419057901,0.00526497071397854,0.0008152407050793604,0.42432417531722905
return,finite_mix,UGC08490,0.008919226578459722,0.004119188408532384,0.004800038169927337,0.05162387493308203
return,finite_mix,UGC08699,0.00205066027774034,0.0022237619952819175,-0.00017310171754157753,0.514857258617993
return,finite_mix,UGC08837,0.03484615698009534,0.01884576241327437,0.01600039456682097,-1.024035965161606
return,finite_mix,UGC09037,0.011210857980430082,0.012827515422579117,-0.001616657442149035,0.6550089997277115
return,finite_mix,UGC09133,0.0011541143490532851,0.003090447877124617,-0.0019363335280713318,0.6786471652389632
return,finite_mix,UGC09992,0.014721321447204694,0.01390500888815733,0.0008163125590473636,0.4276817160221517
return,finite_mix,UGC10310,0.0014904519055194635,0.002227848866988572,-0.0007373969614691083,0.5671610419582478
return,finite_mix,UGC11820,0.0033799504408696672,0.016110346958894153,-0.012730396518024486,1.6874578709273715
return,finite_mix,UGC11914,0.0018966908015874107,0.0005987881139637836,0.0012979026876236272,0.3776855463081256
return,finite_mix,UGCA442,0.0017844753824636794,0.006175889534946434,-0.0043914141524827545,0.907835780135219
return,finite_mix,UGCA444,0.00221705416684933,0.004148651628443541,-0.001931597461594211,0.6788781417180899
return,truncated_point_kernel,CamB,0.17377089447652927,0.14899538052018182,0.024775513956347445,-9.834405329723495
return,truncated_point_kernel,D564-8,0.015455992088693277,0.010824599324993954,0.004631392763699322,-6.463304844566284
return,truncated_point_kernel,D631-7,0.02020121225235733,0.018423412194564937,0.001777800057792392,-6.2218140875035335
return,truncated_point_kernel,DDO064,0.005470658706332556,0.0041545500006219946,0.001316108705710561,-6.092936449884494
return,truncated_point_kernel,DDO161,0.014947647404736772,0.019205564808386578,-0.004257917403649806,-5.62151855998864
return,truncated_point_kernel,DDO168,0.0066640774750213886,0.0051009140398459085,0.00156316343517548,-6.122871976170495
return,truncated_point_kernel,DDO170,0.002973553831608716,0.0008891631084064481,0.002084390723202268,-6.150418015056309
return,truncated_point_kernel,ESO079-G014,0.003693815916097584,0.005633977869215417,-0.0019401619531178326,-5.7788354172421
